label,type,domain
1,nymaim,vicehughes.pro
0,alexa,downflowofcwpza.online
1,symmi,odxaecfeuddeces.ddns.net
0,alexa,philippine-history.org
0,alexa,goglass.ca
0,alexa,etbu.edu
0,alexa,kehlsteinhaus.de
1,vawtrak,usecwemser.com
1,fobber,qqplezdjxv.com
0,alexa,sugyan.com
1,conficker,xpun.nl
1,simda,tufuqyp.info
0,alexa,poweryogabuffalo.com
1,vawtrak,esergimlohw.com
1,padcrypt,fdamcmbdnokecnof.co
1,nymaim,workshop-park.re
1,rovnix,6l6zw6bcpt6yjdlsix.ru
0,alexa,loading.bar
1,ramdo,iukquekwwaequyeg.org
0,alexa,amerikooler.com
1,matsnu,capitalhuntdealsmokeboxclue.com
1,symmi,oxreecwuoh.ddns.net
1,tinba,dxhhsjmthbsh.info
0,alexa,brideandco.co.za
1,simda,pujotiqunif.eu
0,alexa,independentagent.com
1,suppobox,journeyvalley.net
1,emotet,vmtgcxpydsriifbq.eu
0,alexa,sherasolution.com
0,alexa,potus-geeks.livejournal.com
1,ramnit,unmmhvnklfdombjhb.com
0,alexa,coder51ad.pub
1,suppobox,jeannetteabrahamson.net
1,fobber,jboexxoicc.com
1,qadars,i828ywu0ywqs.net
1,ranbyus,vsldpayqbtixlclfp.com
0,alexa,bia2kaj06.xyz
1,nymaim,secretscopying.com
0,alexa,meile.com
1,qadars,4mwikqkesykm.net
1,simda,lymuw.eu
0,alexa,tatosha.ru
1,kraken,ruqjueqid.tv
0,alexa,natuo.com
1,pushdo,canxoxeo.ru
1,ramnit,bycuobafnqrlsl.com
0,alexa,contextclothing.com
0,alexa,nagva.org
1,pykspa,tqdwjcn.com
1,murofet,tpizdqlfihiuojrlojlvlgmswif.org
0,alexa,data-recovery-help.com
0,alexa,anayahlondon.myshopify.com
0,alexa,vaponuage.com
1,kraken,gpctgftmd.com
0,alexa,mlscitrus.com
0,alexa,vprosvet.ru
0,alexa,nusoft.co.id
0,alexa,badboyscash.com
1,suppobox,madecolor.net
0,alexa,wvnews.com
0,alexa,sentieo.com
0,alexa,infopercetakan.com
1,qadars,cqcesugi0y8y.top
0,alexa,calculer-commission.com
0,alexa,oknakomforta.ru
1,pykspa,gbxqsufqbex.com
0,alexa,md4lions.org
1,padcrypt,lbfacefabnkbbfkm.com
0,alexa,mydailyquizz.com
1,symmi,boikatbeepgoex.ddns.net
0,alexa,fooldot.com
1,simda,foqitoh.info
0,alexa,bekiapareja.com
0,alexa,e-ss.nl
1,dircrypt,ndudjipdngygiabt.com
1,suppobox,knowsure.net
0,alexa,lebonagent.fr
0,alexa,energiadeporvida.com
0,alexa,italiansubs.net
1,dircrypt,vdwphrduswupy.com
0,alexa,avancesenrespiratorio.com
0,alexa,footballstopten.com
0,alexa,2277r.com
0,alexa,filmy-online-zalukaj-cda.pl
0,alexa,fishingstudio.com
0,alexa,starwindsoftware.com
0,alexa,happytango.com
1,necurs,xvctydfxovhxfjkotaii.xxx
0,alexa,multimediabs.com
0,alexa,night-freddys.ru
1,emotet,mkkfctdrecvnmdqm.eu
0,alexa,schweizerbauer.ch
0,alexa,clinchfieldcu.com
1,corebot,u6s676w8gpm8cng.ddns.net
0,alexa,steelfitusa.com
1,nymaim,retailers-randy.org
1,corebot,sb7fab12y8ox3bo.ddns.net
1,cryptolocker,aopldfuhwhgra.org
0,alexa,ticketswap.be
0,alexa,salecarry.com
0,alexa,alaki.co.jp
1,fobber,cmfukycjtz.com
0,alexa,multitoysgame.com
0,alexa,notifronteras.com
1,nymaim,voting-defeat.in
0,alexa,egy4tec.com
1,ramnit,rkdnpafhmqtg.com
1,symmi,omwaetvue.ddns.net
1,murofet,ftjumvh34dyfqhugtpudteukqm69j46i25l58.com
0,alexa,pietschsoft.com
1,ranbyus,fdmfbujcajrxloiao.su
1,qadars,64mwmoa428uk.top
0,alexa,entresemana.mx
1,symmi,peobcoekqoin.ddns.net
1,emotet,pdrjgeftdgaenhrg.eu
1,vawtrak,masuhno.com
1,rovnix,dlqefx8omkcqhrgtbc.net
0,alexa,dorsetthotels.com
1,ramdo,iuayqogummwyokek.org
1,matsnu,artconfirmdraftlinkliftscratch.com
0,alexa,valuebiz.com
0,alexa,shopmobs.com
1,murofet,euypqshgelhywcrwjnijvcr.org
1,qadars,e0ao6smwugik.top
0,alexa,essen-retail.ru
1,qadars,qs2waoa4asus.org
0,alexa,astridandmiyu.com
1,tinba,ggfqyuiiuycg.com
0,alexa,nittaa.com
0,alexa,donglishi.com
0,alexa,wfbvillage.org
1,fobber,gbqrhzoipb.com
1,ramdo,ocykiaammsweeisa.org
1,fobber,ekxdufxllm.com
0,alexa,wearecnn.com
0,alexa,revista-triodos.com
0,alexa,irygatory.pl
1,qadars,j4dirwtunwta.com
1,dircrypt,jtrihdur.com
1,simda,norytaf.info
0,alexa,curingo.com
0,alexa,jektis.com
1,ranbyus,wyycyagqjfegxukfu.su
1,simda,mabonuk.info
0,alexa,courstechinfo.be
1,gozi,itveleamncuiusconcio.com
1,symmi,parufeufxagufae.ddns.net
1,simda,kevobyd.info
0,alexa,ezyhd.com.au
0,alexa,topbestfreedownloads.com
0,alexa,jide.com
0,alexa,kabuv.com
0,alexa,tv222.net
1,vawtrak,lufigwir.com
0,alexa,egx.com.eg
0,alexa,visithaugesund.no
1,ramnit,djouiogea.com
0,alexa,chopsticksny.com
1,nymaim,travelsmicrowave.biz
0,alexa,gaprobate.gov
0,alexa,sephoravirtualartist.com
0,alexa,larginefiorito.it
1,nymaim,travellingnecessity.pk
0,alexa,clinicaplanas.com
1,tinba,qcbottyqhptg.ru
0,alexa,365bristol.com
0,alexa,taylorwimpey.co.uk
0,alexa,leasingmaschine.de
1,dircrypt,zeybpfzywxdxnht.com
0,alexa,thebeautifulplaces.info
1,emotet,lfenxnkmagobodkt.eu
0,alexa,ubinary.com
1,ramnit,xqcarmsfycij.com
1,dircrypt,shjuovpp.com
0,alexa,isb-ag.de
1,kraken,wuhpzndzn.dyndns.org
1,tinba,whiosphedghi.com
0,alexa,lr2l.fr
0,alexa,babapk.com
1,matsnu,actmoveluckmissfoldrepair.com
1,suppobox,granvillechamberlain.net
0,alexa,litru.ru
1,cryptolocker,ndjboirblxfr.ru
0,alexa,loungekey.com
0,alexa,prop2go.com
0,alexa,snap4sex.com
0,alexa,stephanelarue.com
0,alexa,hsenergygroup.com
1,cryptolocker,vvuyetphpoam.com
1,corebot,52axmn5xqfkhc6q.ddns.net
0,alexa,simplifiedlaws.com
1,ranbyus,qptlcfcbioocvrqdr.pw
0,alexa,fbpartner.club
1,fobber,cquwwovktd.com
1,simda,qeqohi.info
0,alexa,koelner-philharmonie.de
0,alexa,citymattress.com
1,padcrypt,fmolcmafcmadndff.com
0,alexa,colinhay.com
1,qadars,msmwesukesi0.top
1,matsnu,reliefriskrespondadaptcraft.com
1,padcrypt,bcclodcdnbcfbcfb.online
1,necurs,yqyavpxkfrqcpvyen.com
0,alexa,redbrik.co.uk
1,fobber,cnnmlrgakt.com
0,alexa,solveit.io
0,alexa,xolluteon.com
1,nymaim,tribal-error.hn
1,pushdo,xoseolat.ru
1,gozi,opfulminatdevotam.com
1,vawtrak,cewoflurn.com
1,ramdo,ogkqkycsqckosqck.org
0,alexa,secbuy.com
0,alexa,wizardforums.com
0,alexa,gazzellaracing.com
0,alexa,london2017athletics.com
1,ramdo,gqkkesyigguweass.org
0,alexa,atgj.net
0,alexa,driversoft.biz
0,alexa,trackpacking.com
0,alexa,beerspa.com
0,alexa,bouboum.com
0,alexa,oltretata.it
0,alexa,superspeedgolf.com
1,emotet,bejlmmwvfoxxtlnb.eu
1,gozi,canonesmagisanilongius.com
1,ranbyus,txmibdxfblgjyfmhi.me
0,alexa,rafc.be
0,alexa,javamilk.com
1,emotet,kwbtmpqqopfotrng.eu
1,simda,puzyjoq.com
1,nymaim,vegetableshear.net
1,tinba,dhxmjnfyumbi.ru
0,alexa,inturda.ro
0,alexa,oldtimeraustralia.com
1,rovnix,h7i665xhctw53vitp1.ru
1,symmi,isvoehitl.ddns.net
1,pushdo,cumoqlux.ru
0,alexa,mbitson.com
0,alexa,vefile.com
1,ranbyus,tncjmrrboxohtffrr.tw
0,alexa,leventisikli.com
1,padcrypt,afomdbdmdnnbnabc.com
1,gozi,olcommismagnum.com
0,alexa,koran-jakarta.com
0,alexa,goodsalespromotion.jp
1,rovnix,m1t5l1bgbt3tynby5l.ru
1,suppobox,temperancejessalyn.net
0,alexa,ekatekyo.net
1,gozi,iamvinecessdeiplenitem.com
1,cryptolocker,iyjpbiwfoifa.org
1,qadars,0y4yweo28agq.org
1,pykspa,lbhqdifox.org
0,alexa,tanechka-s.livejournal.com
1,vawtrak,lifagnicis.com
0,alexa,bmtoolbox.net
1,necurs,iqkqldvupavv.sc
1,cryptolocker,uwcoqhnuoxhlaq.co.uk
1,padcrypt,effkceokdneabeff.eu
0,alexa,niceoneilike.com
1,kraken,kdnuubhltkc.net
0,alexa,1122ge.com
0,alexa,akuntansi-id.com
0,alexa,equitybridge.com
1,ramnit,tsilfaftadrrs.com
0,alexa,jodic-forum.org
1,dircrypt,qjvgzyroecymwresreu.com
1,tinba,fnqqnqkvvuuv.com
0,alexa,kuriren.nu
0,alexa,francemarches.com
0,alexa,univen.ac.za
1,gozi,papatemeritatequ.com
0,alexa,leaderyou.co.kr
1,murofet,etdzjygrexlvjuiyctlwkwk17n50e41cwn50.ru
0,alexa,puo.edu.my
1,nymaim,scanned-fancy.la
1,emotet,xyowcxupnxnujqsc.eu
0,alexa,xn--gmq37wp1b28jqz4b.org
1,vawtrak,ogufsurnofs.com
0,alexa,birdbrooklyn.com
0,alexa,laoguy.com
1,dircrypt,qhsuvxcug.com
0,alexa,sexanddesire.com
1,suppobox,maybellinerichardson.net
1,vawtrak,misahgotde.com
1,simda,lyrovudi.info
0,alexa,klimatika-spb.ru
1,pushdo,leokeaja.ru
0,alexa,o-xe.com
1,emotet,mqbkhlimrgliatbw.eu
0,alexa,rik.pl
1,ramdo,kykgmmyuogaswuuc.org
0,alexa,zoomreview.ir
0,alexa,quj.com.cn
1,murofet,ysjvzspmltnxzmo.net
0,alexa,yourseedbox.com
0,alexa,gossiptop.info
0,alexa,theabroadguide.com
0,alexa,best4geeks.com
1,padcrypt,kfmkbbcflbnbbcad.co
1,fobber,vjmenusqmy.com
0,alexa,sakura-forest.tw
0,alexa,sourcedcuisine.com
0,alexa,polarismail.com
1,qadars,8i4y4uoa06se.org
0,alexa,neuland-fleisch.de
1,vawtrak,udsatun.com
0,alexa,javayhu.me
1,nymaim,scuba-qualities.sh
1,dircrypt,xuqfkcsbccwmflwlqn.com
1,fobber,ezrmojnrzr.com
1,nymaim,relaxationprint.re
0,alexa,mfgi.hu
0,alexa,buycartv.com
0,alexa,sockets.tv
1,cryptolocker,ecuhiboieaeovw.biz
1,conficker,gxaa.com.mt
0,alexa,chasecricket.co.uk
1,simda,vocabic.info
1,pykspa,gaxkpo.biz
1,gozi,augendeequamuna.com
1,rovnix,64ceclmcpf42oqiqhe.biz
0,alexa,acropolis.org.in
0,alexa,banhni.vn
0,alexa,saeslearning.com
0,alexa,ikkatsu.jp
0,alexa,620cd.com
1,dircrypt,hkfvyuxzxdvxjfwe.com
1,corebot,mhq0qh1lojkrm8e4cdm6m2a.ddns.net
1,ramnit,tjdikerwbgmhwgccrqp.com
1,rovnix,3g4l1vdwt7lecjspcf.cn
1,symmi,leoxavanreosida.ddns.net
0,alexa,fingerfoodelimo.com
0,alexa,idg.co.kr
0,alexa,hosenih.mihanblog.com
1,suppobox,henriettajosephson.net
1,conficker,dfpmwwlrv.hn
1,fobber,irkigltncp.com
1,conficker,bjubwzd.com.bo
0,alexa,torinoinfo.altervista.org
0,alexa,armpitslover7.tumblr.com
1,symmi,utudhiohuchu.ddns.net
0,alexa,guipai.tmall.com
0,alexa,ilsilenzioedolo.com
1,kraken,ekmans.yi.org
1,padcrypt,aoodbbakbamnalld.de
0,alexa,zftx.com
0,alexa,newmello.com
1,ranbyus,gnvdfwjkdlmorqjyt.tw
0,alexa,deutschland-baut.de
1,symmi,utxexuagipix.ddns.net
0,alexa,sd203.org
1,corebot,3l1tytgh5vsf7j7n383.ddns.net
1,vawtrak,ogumdohge.com
0,alexa,2spaghi.it
1,pykspa,wgdbgo.biz
0,alexa,lmc.co.ao
1,necurs,fvsmqbkq.jp
1,rovnix,5sjvkp7f1k8jobaqyo.biz
0,alexa,chapter-ten.com
0,alexa,rbbritishmarine.com
0,alexa,avbus77.com
0,alexa,yitgroup.com
1,necurs,gegxglvhdeg.tj
1,emotet,yghannmivgrifylp.eu
0,alexa,kyotopi.jp
1,emotet,wunjtplvxqqeppsf.eu
1,emotet,gsrbgwecdgjidgdc.eu
1,tinba,jihpldcbrjon.xyz
1,murofet,ewwnoqqmmjpkilkm.biz
0,alexa,emdsverona2018.com
1,cryptolocker,jkrwekhbhvdhig.info
1,suppobox,riddenclear.net
1,fobber,cyshvlhdqb.com
1,dircrypt,lnpxtzffvq.com
1,ranbyus,lxaudhrufnrmkvpcx.su
0,alexa,alenaakhmadullina.ru
1,pykspa,qbhawadsholapet.com
0,alexa,yotaphone.com
0,alexa,gottalovefeet.tumblr.com
0,alexa,octopus.com.hk
0,alexa,jamplay.com
1,murofet,mnjydtgeyxwcitofonhxtwl.biz
1,vawtrak,cewumsur.com
1,kraken,jlkcfyqhktd.tv
0,alexa,salampapua.com
0,alexa,tipsattorney10.com
0,alexa,osabg.it
1,symmi,ixovevedusxeha.ddns.net
0,alexa,aubg.edu
1,emotet,ikcyqvvkncpclbob.eu
1,conficker,asoca.com.ve
1,simda,tuwyjyvymuq.eu
1,matsnu,girlfriendslightclaimdiscuss.com
1,simda,hahuciz.info
1,fobber,vikjujsiuw.com
0,alexa,hebsaro.de
0,alexa,zedo-fashion.com
1,conficker,idlxfhyif.ps
0,alexa,graphicdesigngratis.com
1,symmi,vutiqoxiokivq.ddns.net
0,alexa,bellesartsferran.com
1,vawtrak,geholdi.com
0,alexa,classecontabil.com.br
0,alexa,caricatura-ta.ro
1,necurs,trkbdujrslql.me
1,suppobox,wentjuly.net
0,alexa,stayonline.tv
1,kraken,sofrlwbecnv.tv
0,alexa,visionexpress.pl
0,alexa,cutewap.com
0,alexa,gssiweb.org
1,conficker,fjzxvttb.com.pe
1,qadars,msuoi0mwm4ew.top
1,nymaim,think-district.by
0,alexa,4minuti.it
1,fobber,qfvnxlsyjw.com
0,alexa,apostiladoenem.org
0,alexa,csae.com
0,alexa,douzhuangyuan.com
0,alexa,21918.com
1,pykspa,cwaeqyeoya.net
1,fobber,miwtozdpve.com
1,cryptolocker,whpgogekkthau.co.uk
0,alexa,cantarishop.se
0,alexa,modareb.info
1,ramdo,ocqucwqyoemgweck.org
0,alexa,copylandia.pl
1,qadars,wqsqsm02w2o2.org
0,alexa,healthshop.in.th
0,alexa,theironskeptic.com
1,ranbyus,djhvtxtklbfoajwkt.pw
0,alexa,sayangmp3.com
1,padcrypt,anfneeabaodnbnob.online
1,gozi,luttherconcedunt.com
0,alexa,rototubes.com
0,alexa,javandi.com
0,alexa,ukmalerservice.de
1,kraken,iwiqedomnn.cc
1,rovnix,ffphiznksfwxt3enys.biz
0,alexa,mameluko.com.br
0,alexa,curitibaantiga.com
0,alexa,fhtpay.com
1,nymaim,swimpharmacy.org
1,fobber,zlafftnrrq.com
1,vawtrak,hawutlarw.com
1,nymaim,summarynotified.id
1,suppobox,montgomeryconstable.net
0,alexa,gambleroad.com
0,alexa,xericdesign.com
1,dircrypt,kewttsjnyl.com
0,alexa,vietmkt360.com
1,tinba,ijfvcuutxpfv.com
0,alexa,arozieleroy.wordpress.com
1,emotet,hrthsdlesrvekceb.eu
0,alexa,alemancenter.com
0,alexa,easports.com
1,fobber,kpvzmlypyy.com
1,nymaim,venuedoctor.hn
0,alexa,edition-peters.de
1,symmi,omaqivik.ddns.net
1,corebot,a2ix16edy61f1xg.ddns.net
0,alexa,firescience.org
0,alexa,ceramicaarnon.com
1,suppobox,evangelinagallagher.net
0,alexa,playsms.org
1,conficker,gvtv.co.za
1,symmi,owliluheukcuok.ddns.net
1,fobber,swxurddayr.com
1,ranbyus,fgvvixjcemabkkxve.cc
0,alexa,creativechain.org
1,tinba,ccfupgfxjvbi.com
1,suppobox,ringdaily.net
1,dircrypt,pojabxlinexbhnxzsra.com
1,vawtrak,adohgatd.com
0,alexa,reneelab.biz
0,alexa,mofilm.com
0,alexa,erickranich.wordpress.com
1,ranbyus,niyxkdevsirbjhiuj.tw
0,alexa,wspia.eu
0,alexa,zubzone.ru
0,alexa,flowingzen.com
0,alexa,lasangredelleonverde.com
1,ramnit,oqbefuwe.com
0,alexa,createhk.gov.hk
0,alexa,allfitnessblog.blogspot.com.es
1,pykspa,gcvmik.info
0,alexa,joommasters.com
1,kraken,gdrasjv.dyndns.org
1,cryptolocker,acyvyadrbkvij.org
0,alexa,thedailycougar.com
1,kraken,wsdtzfu.net
1,matsnu,clickownaccountshowwellfloor.com
0,alexa,kirchberg-pielach.at
0,alexa,friv3play.net
1,simda,pumywop.info
0,alexa,visitamazingalaska.com
0,alexa,zerofreeporn.com
0,alexa,wirelessaccountmanagement.com
1,rovnix,aemvlwpxxfca5gvl6t.ru
1,rovnix,bjdp3ovffvn4ne4ds7.ru
1,simda,dimynoho.info
1,qadars,qgaoawu4a4mo.top
1,nymaim,sections-outcomes.nu
1,qadars,6w6cqsqsekag.org
0,alexa,makcotransmissionparts.com
0,alexa,kupujemprodajem.com
0,alexa,missionalwear.com
1,pykspa,rupcesn.cc
1,corebot,mvkxgdehmrerkjef7456ofw.ddns.net
0,alexa,divinocultivo.com
0,alexa,nu2.nu
1,kraken,hfenqknfb.tv
0,alexa,wheelsmag.com.au
1,padcrypt,ldbabaonaaakaedd.com
1,ramnit,shbxecshjjy.eu
0,alexa,soubrasilia.com
1,vawtrak,elernufdorg.com
0,alexa,ismininanlami.com.tr
1,conficker,ecvqf.ly
1,rovnix,ymofe7pdzmn5xvmyra.net
0,alexa,f1aldia.com
1,nymaim,suicidenotice.com
0,alexa,model-test.com
0,alexa,kbroof.com
1,cryptolocker,inchmfygepetwkd.com
1,rovnix,iv4re2oklh1wp7ukn7.ru
0,alexa,pcgames.com.cn
1,vawtrak,ussufiwwir.com
1,padcrypt,fcfccmfdefdaflbd.cc
0,alexa,whisterie.com
1,conficker,edxckiqy.com.bo
0,alexa,thepearlofbarbados.com
1,padcrypt,nmclffoeckadoaca.de
0,alexa,bouquetbrands.com
1,qadars,gucq0moqc24y.net
1,ramdo,sksyiciugcooimuo.org
1,rovnix,biw31rutkpwy2voc8s.net
0,alexa,volshebnyymir.ru
1,gozi,wittenbergcharitas.com
0,alexa,shameerc.com
0,alexa,bigdogs.com
0,alexa,cmpw-pan.edu.pl
1,dircrypt,kktrtevjrkif.com
1,gozi,seddiluerepeccaindocte.com
0,alexa,easydata.pt
1,tinba,wghxsplbbjht.com
0,alexa,zemachmedia.top
0,alexa,pailletech.be
1,emotet,saosihiobgxcxmui.eu
1,conficker,etsoouw.vn
0,alexa,empresa-journal.com
0,alexa,viveresenigallia.it
0,alexa,ovient.com
1,qadars,0y4igasi0m8e.top
0,alexa,sauna-club-libertin.com
1,rovnix,7qmffjkmxtcv26rp8p.biz
0,alexa,gurucontact.com
1,murofet,o51ftp62gro61bugvh34nrgtcxawgtexfvd50.net
0,alexa,dun4me.com
1,conficker,evmmhu.am
0,alexa,zercalo.org
1,ranbyus,ldcpnuvswiflqpcdp.com
0,alexa,androidim.net
1,simda,lyrelox.info
0,alexa,a777.site
1,tinba,xxvglkjmuvro.com
1,cryptolocker,xfndtfxtsbmnc.net
0,alexa,coldlasers.com
0,alexa,penetric.com
0,alexa,bonfire.com
0,alexa,cars-japan.net
1,vawtrak,egnaresdefi.com
1,matsnu,universityavoidpeakcalculate.com
1,fobber,qxayaofyup.com
1,corebot,ij1rib36ork6wtc87bmdsxo.ddns.net
1,rovnix,n1baj4dd3e3gc4ul8v.ru
1,ranbyus,pxaraxngdhpwsphao.com
0,alexa,southhamiltonschoolfoodservice.weebly.com
0,alexa,ugurozer.com
0,alexa,hilinehomes.com
0,alexa,vaccinenewsdaily.com
1,emotet,whiupqqfxncjmygk.eu
0,alexa,kr-admin.gov.ua
0,alexa,ig-jazz.at
1,conficker,dwsl.co.nz
1,ramdo,yakyyccquusiiass.org
0,alexa,jqplot.com
1,kraken,sfakmecawak.yi.org
0,alexa,webmanga.info
0,alexa,123plays.com
0,alexa,vncold.vn
1,padcrypt,cmffmemddbfedfok.info
1,matsnu,openingdelayboatorderwish.com
0,alexa,cahokiamounds.org
1,suppobox,lordraise.net
0,alexa,narodportal.ru
1,fobber,mznaoclbtr.com
1,dircrypt,uqzdzbvwhripzjvkn.com
1,vawtrak,cawefdir.com
0,alexa,arani.co
0,alexa,hdmovie.su
0,alexa,hearthclub.com
0,alexa,highlandder.com
0,alexa,badania24.info
1,rovnix,qsr5eln4pqtnxlxrlp.cn
0,alexa,freemoneyleverage.com
1,kraken,ygxzdvcnpxn.yi.org
1,tinba,fumnwhpyxhoo.pw
1,matsnu,tipsolveshineparticipate.com
0,alexa,thegatheringatkeystone.org
1,tinba,nsscttyhifcj.biz
1,conficker,fmtc.co.nz
0,alexa,openrxshop.com
1,ramnit,abpkagexehslrcq.com
1,matsnu,consequenceexchangestrip.com
1,padcrypt,ffadbfabebflmdck.com
0,alexa,roket-88.tumblr.com
0,alexa,amrathkurhaus.com
1,kraken,osxonijybqh.net
0,alexa,everythingcebu.com
1,tinba,junoxwodcvjg.biz
0,alexa,jnlcom.com
0,alexa,vac.hu
0,alexa,gava.it
0,alexa,ricaricarica.weebly.com
0,alexa,condomundo.com.br
1,pushdo,gunatcea.ru
0,alexa,itguyswa.com.au
0,alexa,mikakunin.jp
1,simda,vihezuk.net
0,alexa,sava-tires.com
1,padcrypt,ddakcecfbnbofbke.net
0,alexa,berlinzweinull.de
1,dircrypt,sbamwingzknizhckntc.com
0,alexa,raghunathsinghtyagi.blogspot.in
1,corebot,5nk85vyveluh3dk.ddns.net
1,matsnu,tripattractaccesspenfinance.com
1,padcrypt,bcfddbdddfbbnacb.com
0,alexa,kusnie.pl
0,alexa,nfrance.com
0,alexa,greenality.de
0,alexa,myjsa.net
0,alexa,helppreventdisease.com
0,alexa,inclick.net
0,alexa,realismoalapis.com.br
0,alexa,qoheo.com
0,alexa,mr-investment.de
0,alexa,scc-csc.ca
1,matsnu,wheelsettlerealizecompare.com
0,alexa,konicaminolta.com
1,ranbyus,hbhrjgxxhpmbngabd.cc
0,alexa,dreambuilderprogram.com
0,alexa,partnerdatalink.com
0,alexa,screwvids.com
0,alexa,bilforum.biz
0,alexa,scrimaleandscrimalecpas.com
1,simda,fobatuz.info
1,tinba,imvntcscqiir.ru
0,alexa,rocketwimbledonhospitality.com
1,fobber,kgmeibnmqb.com
1,tinba,igfhdijelqjx.ru
0,alexa,ghoststop.com
1,suppobox,nightcomplete.net
1,emotet,onondftrbaiucfye.eu
1,pykspa,cznerufqbex.cc
0,alexa,novameierhenrich.de
1,pushdo,seogirug.ru
0,alexa,mediabetaprojects.com
0,alexa,rareelementresources.com
0,alexa,birdlifephotography.org.au
1,vawtrak,lafogge.com
1,simda,lysesu.info
1,qadars,86oy8e42s24m.top
0,alexa,mahdi-ramadan.blogspot.com
1,rovnix,mziakxxeieemqaxags.biz
1,padcrypt,lladffkomcolmlak.com
0,alexa,yourcharlottehome.com
1,murofet,zwpvyqskszhxswr.info
0,alexa,literacybase.com
0,alexa,anime-muco.com
0,alexa,berneroberlaender.ch
1,qadars,te3chaf8dezg.org
0,alexa,rchilli.com
1,dircrypt,yztdwbswx.com
1,fobber,xeiwahhkos.com
0,alexa,matcha-express.com
1,vawtrak,oggucissote.com
1,pushdo,fuxbozde.ru
0,alexa,backstageol.com
0,alexa,lvlupsteam.com
0,alexa,urlgo.gs
0,alexa,seomanager.com
0,alexa,soulbounce.com
1,gozi,pauinimicoeassrediplease.com
0,alexa,escaliers-de-france.com
0,alexa,aclav.com
0,alexa,reying123.com
1,tinba,etufjyyetlib.com
1,simda,lyrywir.com
1,suppobox,alexandrinamasterson.net
0,alexa,56wan.com
0,alexa,bahrain-companies.com
1,fobber,grbyanygmz.com
1,cryptolocker,atehofygpvrtp.info
0,alexa,jonnenabuurs.nl
0,alexa,nimb.dk
0,alexa,ulsterrugby.com
1,pushdo,beikakok.ru
1,vawtrak,olihwef.com
0,alexa,dicasdaneide.top
1,vawtrak,domownic.com
0,alexa,shnzk.com
0,alexa,hexenbad.com
0,alexa,max-fliz.com.pl
1,conficker,znrmgaikx.vn
0,alexa,plushmir.ru
1,pykspa,atnozgfqbex.cc
0,alexa,iek.gr
1,conficker,fayifybfn.cd
1,fobber,jihkfowhhgczudsks.net
1,necurs,eweuvepbmpeknlauleqwi.kz
1,dircrypt,pbraetsfwnnvwsvnr.com
1,rovnix,z3ktcq882wk6jrezyg.com
1,pushdo,kitoqlok.ru
1,ramdo,myguoswaseiwauyi.org
0,alexa,aeltc.com
0,alexa,peacefulpuzzle.com
0,alexa,flachdcd.com
1,symmi,eqacmemop.ddns.net
0,alexa,grillo-designs.com
0,alexa,hhsales.com
0,alexa,liberte.pl
1,conficker,zuavaxhmc.ag
